step_time,reward,total_stopped,total_wait_time,episode,terminal_observation
5.0,0.0,0,0.0,,
10.0,0.0,0,0.0,,
15.0,-0.07,6,7.0,,
20.0,-0.38,8,45.0,,
25.0,-0.19,8,64.0,,
30.0,-0.58,12,122.0,,
35.0,-0.16999999999999993,8,139.0,,
40.0,0.25,6,114.0,,
45.0,0.33999999999999986,2,80.0,,
50.0,0.18000000000000005,9,62.0,,
55.0,-0.24,12,86.0,,
60.0,-0.040000000000000036,6,90.0,,
65.0,-0.13,8,103.0,,
70.0,-0.29000000000000004,12,132.0,,
75.0,-0.3799999999999999,14,170.0,,
80.0,0.040000000000000036,6,166.0,,
85.0,0.33999999999999986,4,132.0,,
90.0,0.040000000000000036,16,128.0,,
95.0,-0.48,16,176.0,,
100.0,-0.16999999999999993,12,193.0,,
105.0,-0.07999999999999985,10,201.0,,
110.0,-0.2100000000000004,11,222.0,,
115.0,0.14000000000000012,8,208.0,,
120.0,-0.08999999999999986,15,217.0,,
125.0,-0.6099999999999999,13,278.0,,
130.0,-0.3500000000000001,12,313.0,,
135.0,0.23999999999999977,10,289.0,,
140.0,0.6400000000000001,14,225.0,,
145.0,-0.040000000000000036,10,229.0,,
150.0,0.0,8,229.0,,
155.0,-0.21999999999999975,8,251.0,,
160.0,-0.13000000000000034,11,264.0,,
165.0,-0.48999999999999977,16,313.0,,
170.0,0.7999999999999998,18,233.0,,
175.0,-0.6799999999999997,18,301.0,,
180.0,-0.4400000000000004,16,345.0,,
185.0,0.38000000000000034,10,307.0,,
190.0,0.8199999999999998,6,225.0,,
195.0,0.6399999999999999,14,161.0,,
200.0,-0.3899999999999999,16,200.0,,
205.0,-0.1299999999999999,10,213.0,,
210.0,0.5,5,163.0,,
215.0,0.5099999999999998,11,112.0,,
220.0,-0.25,9,137.0,,
225.0,0.08000000000000007,5,129.0,,
230.0,-0.1499999999999999,9,144.0,,
235.0,-0.75,19,219.0,,
240.0,-0.18000000000000016,19,237.0,,
245.0,-0.31999999999999984,20,269.0,,
250.0,-0.5300000000000002,18,322.0,,
255.0,0.1200000000000001,11,310.0,,
